Date,Confirmed
20/12/2020,20881
19/12/2020,20682
18/12/2020,20494
17/12/2020,20337
16/12/2020,20030
15/12/2020,19661
14/12/2020,19258
13/12/2020,19000
12/12/2020,18975
11/12/2020,18601
10/12/2020,18200
09/12/2020,17896
08/12/2020,17474
07/12/2020,16941
06/12/2020,16832
05/12/2020,16767
04/12/2020,16619
03/12/2020,16328
02/12/2020,16009
01/12/2020,15779
30/11/2020,15455
29/11/2020,15046
28/11/2020,14836
27/11/2020,14628
26/11/2020,14365
25/11/2020,14156
24/11/2020,13893
23/11/2020,13486
22/11/2020,13082
21/11/2020,12981
20/11/2020,12919
19/11/2020,12744
18/11/2020,12564
17/11/2020,12366
16/11/2020,12063
15/11/2020,11876
14/11/2020,11784
13/11/2020,11679
12/11/2020,11469
11/11/2020,11265
10/11/2020,11121
9/11/2020,11012
8/11/2020,10936
7/11/2020,10891
6/11/2020,10848
5/11/2020,10672
4/11/2020,10590
3/11/2020,10518
2/11/2020,10465
1/11/2020,10438
31/10/2020,10421
30/10/2020,10397
29/10/2020,10351
28/10/2020,10254
27/10/2020,10212
26/10/2020,10093
25/10/2020,10026
24/10/2020,9949
23/10/2020,9881
22/10/2020,9791
21/10/2020,9732
20/10/2020,9639
19/10/2020,9558
18/10/2020,9494
17/10/2020,9439
16/10/2020,9374
15/10/2020,9272
14/10/2020,9190
13/10/2020,9116
12/10/2020,9018
11/10/2020,8998
10/10/2020,8964
09/10/2020,8904
08/10/2020,8852
07/10/2020,8747
06/10/2020,8657
05/10/2020,8547
04/10/2020,8508
03/10/2020,8478
02/10/2020,8434
01/10/2020,8380
30/9/2020,8295
29/9/2020,8166
28/9/2020,8074
27/9/2020,8015
26/9/2020,7941
25/9/2020,7841
24/9/2020,7759
23/9/2020,7683
22/9/2020,7628
21/9/2020,7512
20/9/2020,7403
19/9/2020,7368
18/9/2020,7339
17/9/2020,7264
16/9/2020,7196
15/9/2020,7108
14/9/2020,7046
13/9/2020,7016
12/9/2020,6975
11/9/2020,6918
10/9/2020,6842
9/9/2020,6719
8/9/2020,6635
7/9/2020,6564
6/9/2020,6517
5/9/2020,6442
4/9/2020,6393
3/9/2020,6305
2/9/2020,6195
1/9/2020,6068
31/8/2020,6009
30/8/2020,5943
29/8/2020,5886
28/8/2020,5819
27/8/2020,5712
26/8/2020,5633
25/8/2020,5587
24/8/2020,5441
23/8/2020,5329
22/8/2020,5277
21/8/2020,5218
20/8/2020,5110
19/8/2020,4970
18/8/2020,4867
17/8/2020,4758
16/8/2020,4681
15/8/2020,4639
14/8/2020,4603
13/8/2020,4510
12/8/2020,4430
11/8/2020,4367
10/8/2020,4237
09/8/2020,4133
08/8/2020,4089
07/8/2020,4058
06/8/2020,3985
05/8/2020,3892
04/8/2020,3813
03/8/2020,3714
02/8/2020,3639
01/8/2020,3595
31/7/2020,3538
30/7/2020,3465
29/7/2020,3402
28/7/2020,3314
27/7/2020,3244
26/7/2020,3196
25/7/2020,3156
24/7/2020,3065
23/7/2020,2998
22/7/2020,2891
21/7/2020,2822
20/7/2020,2733
19/7/2020,2693
18/7/2020,2590
17/7/2020,2517
16/7/2020,2456
15/7/2020,2410
14/7/2020,2342
13/7/2020,2271
12/7/2020,2216
11/7/2020,2183
10/7/2020,2121
09/7/2020,2084
08/7/2020,2043
07/7/2020,1979
06/7/2020,1912
05/7/2020,1848
04/7/2020,1757
03/7/2020,1674
02/7/2020,1617
01/7/2020,1559
30/6/2020,1520
29/6/2020,1493
28/6/2020,1447
27/6/2020,1422
26/6/2020,1359
25/6/2020,1322
24/6/2020,1278
23/6/2020,1219
22/6/2020,1154
21/6/2020,1113
20/6/2020,1079
19/6/2020,1028
18/6/2020,967
17/6/2020,922
16/6/2020,895
15/6/2020,850
14/6/2020,791
13/6/2020,768
12/6/2020,741
11/6/2020,695
10/6/2020,643
09/6/2020,595
08/6/2020,538
07/6/2020,519
06/6/2020,505
05/6/2020,493
04/6/2020,440
03/6/2020,429
02/6/2020,395
01/6/2020,379
31/5/2020,371
30/5/2020,358
29/5/2020,347
28/5/2020,328
27/5/2020,320
26/5/2020,304
25/5/2020,282
24/5/2020,271
23/5/2020,250
22/5/2020,236
21/5/2020,213
20/5/2020,208
19/5/2020,189
18/5/2020,183
17/5/2020,160
16/5/2020,152
15/5/2020,132
14/5/2020,129
13/5/2020,124
12/5/2020,119
11/5/2020,114
10/5/2020,112
09/5/2020,111
08/5/2020,110
07/5/2020,110
06/5/2020,106
05/5/2020,102
04/5/2020,101
03/5/2020,101
02/5/2020,99
01/5/2020,95
30/4/2020,87
29/4/2020,79
28/4/2020,75
27/4/2020,71
26/4/2020,71
25/4/2020,65
24/4/2020,64
23/4/2020,61
22/4/2020,57
21/4/2020,54
20/4/2020,54
19/4/2020,53
18/4/2020,52
17/4/2020,52
16/4/2020,51
15/4/2020,51
14/4/2020,50
13/4/2020,49
12/4/2020,47
11/4/2020,46
10/4/2020,45
09/4/2020,44
08/4/2020,42
07/4/2020,39
06/4/2020,38
05/4/2020,33
04/4/2020,31
03/4/2020,25
02/4/2020,22
01/4/2020,19
31/3/2020,16
30/3/2020,16
29/3/2020,12
28/3/2020,12
27/3/2020,9
26/3/2020,5
25/3/2020,5
24/3/2020,4
23/3/2020,4
22/3/2020,3
21/3/2020,3
20/3/2020,2
19/3/2020,2
18/3/2020,1
