date,The Kooks,Don L,Foster the People,Black Alien,Criolo,Arctic Monkeys,ヨルシカ,BaianaSystem,Camarada Janderson,Wednesday Campanella
2022-01-01,1,2,1,5,0,0,0,6,0,0
2022-01-08,5,0,7,7,0,2,0,25,3,12
2022-01-15,1,1,2,3,1,0,0,4,1,1
2022-01-22,2,1,4,5,0,1,0,6,4,0
2022-01-29,1,2,7,0,0,0,0,3,2,0
2022-02-05,16,1,36,1,2,43,0,7,13,3
2022-02-12,6,9,21,4,0,15,0,12,12,39
2022-02-19,10,1,13,2,0,4,0,8,10,13
2022-02-26,9,2,11,0,1,3,0,3,9,9
2022-03-05,4,0,6,1,0,1,0,2,8,1
2022-03-12,0,3,0,1,0,0,0,0,1,4
2022-03-19,20,1,4,0,1,2,0,1,8,2
2022-03-26,4,4,3,4,2,0,0,4,3,2
2022-04-02,27,7,12,5,4,5,0,5,4,2
2022-04-09,93,4,4,1,0,1,0,3,5,1
2022-04-16,117,17,7,7,0,3,0,13,3,2
2022-04-23,29,8,2,4,0,2,0,4,9,0
2022-04-30,28,3,1,2,3,1,0,5,9,3
2022-05-07,39,14,5,1,0,0,0,3,7,6
2022-05-14,20,10,1,85,0,2,0,11,8,5
2022-05-21,35,3,4,17,0,14,22,7,16,4
2022-05-28,11,4,10,9,0,3,11,9,5,4
2022-06-04,16,3,2,7,1,2,3,6,4,4
2022-06-11,4,0,3,2,0,1,11,2,0,6
2022-06-18,13,4,3,2,0,5,2,1,4,3
2022-06-25,16,2,5,16,0,3,21,5,1,7
2022-07-02,9,0,4,14,0,2,7,1,1,0
2022-07-09,16,5,8,18,3,3,47,3,7,3
2022-07-16,7,24,3,12,6,2,11,5,6,0
2022-07-23,12,13,6,3,0,5,19,4,6,5
2022-07-30,16,16,20,3,5,4,11,5,7,11
2022-08-06,3,14,4,6,0,2,2,3,2,2
2022-08-13,14,32,11,15,1,6,4,3,4,8
2022-08-20,13,27,16,6,3,6,4,1,3,8
2022-08-27,3,18,11,3,2,2,3,2,0,1
2022-09-03,9,11,10,4,0,2,19,1,2,2
2022-09-10,8,7,2,0,1,5,0,3,0,1
2022-09-17,20,16,10,6,1,6,4,1,8,2
2022-09-24,14,12,14,10,6,4,4,6,10,9
2022-10-01,3,151,6,14,30,4,12,4,4,6
2022-10-08,5,41,5,8,82,4,1,1,2,1
2022-10-15,2,33,4,4,40,1,0,6,0,2
2022-10-22,9,18,4,3,14,13,2,0,3,10
2022-10-29,5,6,9,6,11,8,0,1,1,1
2022-11-05,7,8,5,3,7,6,0,4,1,1
2022-11-12,10,3,12,4,12,7,3,2,3,4
2022-11-19,5,4,3,2,6,5,2,0,0,0
2022-11-26,11,1,4,2,3,12,2,0,0,0
2022-12-03,1,0,1,1,3,0,0,0,0,0
2022-12-10,6,1,4,0,8,12,1,6,1,1
2022-12-17,7,2,6,3,42,10,0,9,1,0
2022-12-24,2,2,2,1,3,1,1,0,2,2
