Data,Mortes
2020-03-18,0
2020-03-19,0
2020-03-20,0
2020-03-21,0
2020-03-22,0
2020-03-23,0
2020-03-24,0
2020-03-25,0
2020-03-26,0
2020-03-27,2
2020-03-28,2
2020-03-29,2
2020-03-30,2
2020-03-31,2
2020-04-01,2
2020-04-02,2
2020-04-03,2
2020-04-04,2
2020-04-05,2
2020-04-06,2
2020-04-07,2
2020-04-08,2
2020-04-09,3
2020-04-10,4
2020-04-11,4
2020-04-12,4
2020-04-13,5
2020-04-14,5
2020-04-15,5
2020-04-16,5
2020-04-17,5
2020-04-18,5
2020-04-19,5
2020-04-20,5
2020-04-21,5
2020-04-22,5
2020-04-23,5
2020-04-24,5
2020-04-25,5
2020-04-26,5
2020-04-27,5
2020-04-28,5
2020-04-29,5
2020-04-30,5
2020-05-01,5
2020-05-02,5
2020-05-03,5
2020-05-04,5
2020-05-05,5
2020-05-06,5
2020-05-07,6
2020-05-08,6
2020-05-09,6
2020-05-10,6
2020-05-11,6
2020-05-12,6
2020-05-13,6
2020-05-14,6
2020-05-15,6
2020-05-16,6
2020-05-17,6
2020-05-18,6
2020-05-19,6
2020-05-20,6
2020-05-21,6
2020-05-22,6
2020-05-23,6
2020-05-24,6
2020-05-25,6
2020-05-26,6
2020-05-27,6
2020-05-28,6
2020-05-29,6
2020-05-30,8
2020-05-31,8
2020-06-01,8
2020-06-02,8
2020-06-03,9
2020-06-04,9
2020-06-05,10
2020-06-06,11
2020-06-07,11
2020-06-08,11
2020-06-09,11
2020-06-10,11
2020-06-11,11
2020-06-12,11
2020-06-13,11
2020-06-14,11
2020-06-15,11
2020-06-16,11
2020-06-17,11
2020-06-18,12
2020-06-19,12
2020-06-20,13
2020-06-21,13
2020-06-22,13
2020-06-23,13
2020-06-24,15
2020-06-25,15
2020-06-26,16
2020-06-27,16
2020-06-28,16
2020-06-29,18
2020-06-30,18
2020-07-01,18
2020-07-02,18
2020-07-03,18
2020-07-04,18
2020-07-05,19
2020-07-06,19
2020-07-07,20
2020-07-08,25
2020-07-09,26
2020-07-10,29
2020-07-11,29
2020-07-12,29
2020-07-13,31
2020-07-14,32
2020-07-15,33
2020-07-16,33
2020-07-17,35
2020-07-18,36
2020-07-19,36
2020-07-20,37
2020-07-21,39
2020-07-22,40
2020-07-23,41
2020-07-24,42
2020-07-25,43
2020-07-26,44
2020-07-27,49
2020-07-28,51
2020-07-29,52
2020-07-30,54
2020-07-31,54
2020-08-01,55
2020-08-02,55
2020-08-03,55
2020-08-04,57
2020-08-05,59
2020-08-06,62
2020-08-07,63
2020-08-08,64
2020-08-09,64
2020-08-10,67
2020-08-11,68
2020-08-12,70
2020-08-13,70
2020-08-14,72
2020-08-15,74
2020-08-16,75
2020-08-17,74
2020-08-18,75
2020-08-19,76
2020-08-20,79
2020-08-21,81
2020-08-22,84
2020-08-23,86
2020-08-24,87
2020-08-25,89
2020-08-26,92
2020-08-27,94
2020-08-28,96
2020-08-29,96
2020-08-30,99
2020-08-31,101
2020-09-01,104
2020-09-02,105
2020-09-03,107
2020-09-04,111
2020-09-05,115
2020-09-06,116
2020-09-07,116
2020-09-08,117
2020-09-09,117
2020-09-10,119
2020-09-11,123
2020-09-12,125
2020-09-13,126
2020-09-14,126
2020-09-15,126
2020-09-16,127
2020-09-17,127
2020-09-18,127
2020-09-19,127
2020-09-20,127
2020-09-21,127
2020-09-22,130
2020-09-23,131
2020-09-24,131
2020-09-25,132
2020-09-26,133
2020-09-27,133
2020-09-28,135
2020-09-29,137
2020-09-30,139
2020-10-01,141
2020-10-02,142
2020-10-03,142
2020-10-04,142
2020-10-05,143
2020-10-06,144
2020-10-07,145
2020-10-08,146
2020-10-09,145
2020-10-10,145
2020-10-11,145
2020-10-12,146
2020-10-13,147
2020-10-14,149
2020-10-15,149
2020-10-16,150
2020-10-17,151
2020-10-18,152
2020-10-19,154
2020-10-20,157
2020-10-21,158
2020-10-22,158
2020-10-23,159
2020-10-24,159
2020-10-25,159
2020-10-26,160
2020-10-27,160
2020-10-28,160
2020-10-29,161
2020-10-30,162
2020-10-31,162
2020-11-01,162
2020-11-02,162
2020-11-03,165
2020-11-04,168
2020-11-05,168
2020-11-06,170
2020-11-07,171
2020-11-08,172
2020-11-09,174
2020-11-10,178
2020-11-11,181
2020-11-12,181
2020-11-13,183
2020-11-14,183
2020-11-15,183
2020-11-16,184
2020-11-17,185
2020-11-18,187
2020-11-19,187
2020-11-20,189
2020-11-21,189
2020-11-22,190
2020-11-23,190
2020-11-24,196
2020-11-25,199
2020-11-26,203
2020-11-27,204
2020-11-28,205
2020-11-29,206
2020-11-30,207
2020-12-01,213
2020-12-02,214
2020-12-03,217
2020-12-04,219
2020-12-05,219
2020-12-06,221
2020-12-07,225
2020-12-08,230
2020-12-09,235
2020-12-10,237
2020-12-11,241
2020-12-12,241
2020-12-13,242
2020-12-14,245
2020-12-15,257
2020-12-16,262
2020-12-17,266
2020-12-18,269
2020-12-19,269
2020-12-20,270
2020-12-21,277
2020-12-22,281
2020-12-23,291
2020-12-24,292
2020-12-27,294
2020-12-28,301
2020-12-29,303
2020-12-30,306
2020-12-31,307
2021-01-03,310
2021-01-04,311
2021-01-05,317
2021-01-06,322
2021-01-07,323
2021-01-08,323
2021-01-09,323
